id,center,fy,sic,naics,state,sales,employees,plant_area,products,produnits,prodlevel,prodhours,recc_count_recc,ec_plant_cost,ec_plant_usage,ed_plant_cost,ed_plant_usage,ef_plant_cost,e2_plant_cost,e2_plant_usage,e3_plant_cost,e3_plant_usage,e4_plant_cost,e4_plant_usage,e5_plant_cost,e5_plant_usage,e6_plant_cost,e6_plant_usage,e7_plant_cost,e7_plant_usage,e8_plant_cost,e8_plant_usage,e9_plant_cost,e9_plant_usage,e10_plant_cost,e10_plant_usage,e11_plant_cost,e11_plant_usage,e12_plant_cost,e12_plant_usage,w0_plant_cost,w0_plant_usage,w1_plant_cost,w1_plant_usage,w2_plant_cost,w2_plant_usage,w3_plant_cost,w3_plant_usage,w4_plant_cost,w4_plant_usage,w5_plant_cost,w5_plant_usage,w6_plant_cost,w6_plant_usage
AM0001,AM,1987,3671,,TX,33900000,206,,MICRO & MINI COMPUTERS,1,310,2250,7,184985,2560082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0002,AM,1987,2761,,TX,25000000,156,,BUSINESS FORMS,,,2250,9,267702,4867233,,,,70657,19338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0003,AM,1987,3494,,TX,15000000,200,,SAFETY JOINTS & VALVES,,,2250,8,129334,1723036,,,,10146,2074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0004,AM,1987,3713,,TX,4200000,75,,TRUCKS BEDS & TRAILERS,1,1000,2340,11,53511,483880,,,,15475,3865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0005,AM,1987,2024,,TX,12000000,39,,ICE CREAM,5,2000,2080,7,174617,2868113,,,,10448,2903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0006,AM,1987,2048,,TX,11000000,50,,FEED & MEAT PROCESSING,3,35311,3222,6,78005,1004396,,,,13436,3344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0007,AM,1987,3559,,TX,25000000,75,,NG LIQUIDS PROCES EQUIPMENT,,,4420,5,118029,2157093,,,,6686,1435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0008,AM,1987,2448,,TX,1900000,50,,"WOODEN PALLETS,VENEERS",,,2080,4,78950,839683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0009,AM,1987,2796,,TX,22000000,82,,LIGHOGRAPHIC PLATES,1,9000000,6816,4,249501,4589977,,,,11711,2262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0010,AM,1987,2752,,TX,30000000,312,,LETHOGRAPHIC PRINTING,1,1407000,8736,4,261955,4626026,,,,42926,12061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0011,AM,1987,2673,,TX,13500000,70,,MISCELLANEOUS PLASTICS,2,31000000,8736,9,508387,12702521,,,,21123,6103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0012,AM,1987,3089,,TX,11000000,150,,PLASTIC HOUSEWARES,2,42000000,8736,5,196896,4116061,,,,22983,4222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0013,AM,1987,3089,,TX,1900000,27,,INJECTION-MOLDED PLASTIC,1,3238000,5000,8,50121,1055979,,,,450,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0014,AM,1987,3448,,TX,19000000,160,,PREFABRICATED METAL BUILDINGS,1,120,2600,8,36539,483880,,,,,,7358,943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0015,AM,1987,2865,,TX,1250000,11,,CONCENTRATE FOR PLASTICS,2,1000000,2340,7,28480,279015,,,,1639,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0016,AM,1987,3089,,TX,11000000,80,,PLASTIC CONTAINERS,1,75000000,7752,6,204940,4851114,,,,2163,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0017,AM,1987,3993,,TX,14000000,120,,ILLUMINATED PLASTIC SIGNS,1,14300,4420,7,60069,883939,,,,44440,7838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0018,AM,1988,3585,,TX,3000000,70,,EVAPORATORS & CONDENSERS,1,150000,4420,6,22539,351114,,,,9252,1710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0019,AM,1988,2499,,TX,4000000,30,,PEG BOARD PANELS,1,1400000,6240,4,20289,264947,,,,41154,7746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0020,AM,1988,3479,,TX,4000000,55,,GALVANIZED FENCING,2,9900000,3734,5,30201,312427,,,,22043,6688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0021,AM,1988,3085,,TX,12000000,75,,PLASTIC CONTAINERS,2,13000000,8472,7,528507,9645076,,,,5908,1467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0022,AM,1988,3585,,TX,8000000,150,,REFRIGERATION COILS,1,300000,8400,8,48627,833822,,,,21932,3878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM0023,AM,1988,2449,,TX,1400000,50,,VENEERED FRUIT,1,2000000,2304,3,14059,162075,,,,22119,4131,,,,,,,,,,,,,17200,17200,,,,,,,,,,,,,,,,,,,,
